"IdNormativaRef";"IdNorActual";"IdNorAnterior";"TipoRef"
729;1053;1052;6
730;1066;796;2
731;1066;852;2
732;1066;885;2
733;1066;944;2
734;1066;999;2
735;1066;1053;2
736;1066;795;6
737;1066;851;6
738;1066;1052;6
739;1132;796;2
740;1132;852;2
741;1132;885;2
742;1132;944;2
743;1132;999;2
744;1132;1053;2
745;1132;1066;2
746;1132;795;6
747;1132;851;6
748;1132;1052;6
749;1189;796;1
750;1189;852;1
751;1189;885;1
752;1189;944;1
753;1189;999;1
754;1189;1053;1
755;1189;1066;1
756;1189;1132;1
762;947;797;2
763;947;849;6
764;947;855;6
765;947;888;6
766;947;945;6
767;1054;797;2
768;1054;947;2
769;1054;849;6
770;1054;855;6
771;1054;888;6
772;1054;945;6
773;1054;959;6
774;1150;797;2
775;1150;947;2
776;1150;1054;2
777;1150;849;6
778;1150;855;6
779;1150;888;6
780;1150;945;6
781;1150;959;6
782;1150;1090;6
783;1191;1090;1
784;1191;797;1
785;1191;947;1
786;1191;1054;1
787;1191;1150;1
788;230;11;2
789;230;28;2
790;619;11;4
791;619;28;1
792;619;230;1
793;722;619;2
794;886;619;2
795;886;722;2
796;918;619;2
797;918;722;2
798;982;619;1
799;982;722;1
800;982;886;1
801;982;918;1
802;1073;982;2
803;1137;982;2
804;1137;1073;2
805;1287;982;2
806;1287;1073;2
807;1287;1137;2
808;1212;1190;2
809;1284;1212;2
810;1288;1190;3
811;1288;1212;3
812;1288;1284;3
813;816;411;1
814;816;603;1
815;1162;818;1
816;1173;1172;2
817;1289;1162;2
818;1289;1172;2
819;1289;1173;2
820;1289;1187;2
821;1289;1188;1
822;1290;1162;3
824;1290;1172;3
825;1290;1173;3
826;1290;1187;3
827;1290;1289;3
828;1291;1274;5
829;1097;863;1
830;1154;1098;1
831;1154;785;2
832;1292;785;2
833;1292;862;2
834;1292;1097;2
835;1292;1154;2
836;1293;785;3
837;1293;862;3
838;1293;1097;3
839;1293;1154;3
840;1293;1292;3
841;1294;834;2
842;1294;1106;2
843;1294;1113;1
844;1295;834;3
845;1295;1106;3
846;1295;1294;3
847;1298;1191;2
848;1298;1241;2
849;1298;1280;2
850;1298;1281;1
851;1299;1191;3
852;1299;1241;3
853;1299;1280;3
854;1299;1298;3
855;1301;20;2
856;1301;1000;2
857;1301;1001;1
858;1302;20;3
859;1302;1000;3
860;1302;1300;3
861;1304;203;6
862;1305;203;2
865;1306;839;1
866;1193;992;1
867;880;527;1
868;1308;880;2
869;1311;866;2
870;553;424;2
871;661;424;2
872;662;424;2
873;662;553;2
874;663;424;2
875;663;553;2
876;663;662;2
877;717;424;2
878;717;553;2
879;717;662;2
880;717;663;2
881;879;424;2
882;879;553;2
883;879;661;2
884;879;662;2
885;879;663;2
886;879;717;2
888;936;424;2
889;936;553;2
890;936;661;2
891;936;662;2
892;936;663;2
893;936;717;2
894;936;879;2
895;1312;424;2
896;1312;553;2
897;1312;661;2
898;1312;662;2
899;1312;663;2
900;1312;717;2
901;1312;879;2
902;1312;936;2
903;1313;676;1
904;1313;764;1
905;1313;995;1
906;1313;1083;1
907;1313;1084;1
908;1202;372;2
909;1202;373;2
910;1202;762;2
911;1316;372;2
912;1316;373;2
913;1316;762;2
914;1316;1202;2
915;1313;922;4
916;1313;968;4
917;1313;969;1
918;1313;1064;1
919;1315;1297;5
920;1314;1296;5
921;1317;1273;5
922;1318;1099;1
923;1320;1190;2
924;1320;1212;2
925;1320;1284;2
926;1320;1288;1
927;1321;1190;3
928;1321;1212;3
929;1321;1284;3
930;1321;1320;3
931;1323;1319;5
932;1064;694;7
933;1143;1142;3
934;1205;1142;2
935;1325;747;2
936;1325;810;2
937;1325;1142;2
938;1325;1205;2
939;1325;1228;2
940;1325;1229;1
941;1326;747;3
942;1326;810;3
943;1326;1142;3
944;1326;1205;3
945;1326;1228;3
946;1326;1325;3
947;1327;1250;2
948;1331;1327;5
949;1332;1250;3
950;1332;1327;3
951;1332;1331;3
952;1333;834;3
953;1333;1106;3
954;1333;1294;3
955;1333;1295;1
956;1334;1273;2
957;1334;1317;2
958;1335;1273;3
959;1335;1317;3
960;1335;1334;3
961;1336;1191;2
962;1336;1241;2
963;1336;1280;2
964;1336;1298;2
965;1336;1299;1
966;1336;834;2
967;1336;1106;2
968;1336;1294;2
969;1333;1336;3
970;1337;1191;3
971;1337;1241;3
972;1337;1280;3
973;1337;1298;3
974;1337;1336;3
975;1338;1162;2
976;1338;1172;2
977;1338;1173;2
978;1338;1187;2
979;1338;1289;2
981;1339;1162;2
982;1339;1172;2
983;1339;1173;2
985;1339;1289;2
986;1339;1290;1
987;1339;1338;6
988;1340;1162;3
989;1340;1172;3
990;1340;1173;3
991;1340;1187;3
992;1340;1289;3
993;1340;1339;3
994;1340;1338;6
995;1341;1190;2
996;1341;1212;2
997;1341;1284;2
998;1341;1320;2
999;1341;1321;1
1000;1342;1190;3
1001;1342;1212;3
1002;1342;1284;3
1003;1342;1320;3
1004;1342;1341;3
1005;1343;1136;1
1007;715;626;1
1009;1055;980;1
1010;1135;1055;1
1012;1286;1135;1
1013;1136;567;1
1014;1346;1192;2
1015;1346;1243;2
1020;1347;1192;3
1021;1347;1243;3
1022;1347;1346;3
1023;1054;39;2
1024;1054;608;2
1025;1054;718;2
1026;1054;1013;2
1027;849;39;4
1028;1191;39;1
1029;1191;608;1
1030;1191;718;1
1031;1191;1013;1
1032;1339;1173;2
1033;1348;1162;2
1034;1348;1172;2
1035;1348;1173;2
1036;1348;1187;2
1037;1348;1289;2
1038;1348;1339;2
1039;1350;1302;5
1040;1348;1340;1
